video_name,frame,right_elbow_angle,left_elbow_angle,right_knee_bend,left_knee_bend,label
good_batting_basics_00001.mp4,498,143.25,130.87,179.39,173.53,1
good_batting_basics_00001.mp4,499,143.54,115.73,179.26,172.54,1
good_batting_basics_00001.mp4,500,155.35,97.97,177.76,171.37,1
good_batting_basics_00001.mp4,501,167.76,98.01,177.18,171.87,1
good_batting_basics_00001.mp4,502,147.92,89.51,177.34,172.54,1
good_batting_basics_00001.mp4,503,145.5,86.31,177.74,172.52,1
good_batting_basics_00001.mp4,504,123.8,82.46,178.2,173.03,1
good_batting_basics_00001.mp4,506,145.88,38.35,179.42,175.09,1
good_batting_basics_00001.mp4,518,149.12,158.67,176.01,175.12,1
good_batting_basics_00001.mp4,519,151.6,153.42,174.88,174.71,1
good_batting_basics_00001.mp4,522,113.24,128.88,178.26,173.52,1
good_batting_basics_00001.mp4,523,55.94,13.32,178.56,170.22,1
good_batting_basics_00001.mp4,632,20.88,63.12,159.59,179.78,1
good_batting_basics_00001.mp4,882,167.14,179.86,178.16,173.96,1
good_batting_basics_00001.mp4,883,167.6,178.24,175.1,170.73,1
good_batting_basics_00001.mp4,885,170.41,176.75,171.29,171.15,1
good_batting_basics_00001.mp4,886,174.5,178.0,167.54,169.1,1
good_batting_basics_00001.mp4,890,178.58,0.0,172.7,167.37,1
good_batting_basics_00001.mp4,1139,3.21,149.51,87.24,1.73,1
good_batting_basics_00001.mp4,1140,131.17,33.3,119.51,107.28,1
good_batting_basics_00001.mp4,1219,158.11,117.25,171.36,161.83,1
good_batting_basics_00001.mp4,1220,154.06,113.28,170.57,161.74,1
good_batting_basics_00001.mp4,1221,154.47,107.5,168.88,162.87,1
good_batting_basics_00001.mp4,1222,156.11,103.89,166.29,164.77,1
good_batting_basics_00001.mp4,1223,163.42,100.96,163.27,166.97,1
good_batting_basics_00001.mp4,1224,173.65,98.56,160.28,168.9,1
good_batting_basics_00001.mp4,1225,179.35,100.56,157.69,170.6,1
good_batting_basics_00001.mp4,1226,178.17,103.59,156.88,170.91,1
good_batting_basics_00001.mp4,1227,176.84,106.63,155.81,169.48,1
good_batting_basics_00001.mp4,1228,173.52,108.74,154.54,166.68,1
good_batting_basics_00001.mp4,1229,170.94,111.35,152.28,164.11,1
good_batting_basics_00001.mp4,1230,169.66,111.78,150.2,162.13,1
good_batting_basics_00001.mp4,1231,172.59,111.66,147.95,161.13,1
good_batting_basics_00001.mp4,1232,174.02,108.97,148.3,162.0,1
good_batting_basics_00001.mp4,1233,175.89,105.99,149.66,165.28,1
good_batting_basics_00001.mp4,1234,176.79,101.35,151.47,169.14,1
good_batting_basics_00001.mp4,1235,170.54,96.28,152.84,173.95,1
good_batting_basics_00001.mp4,1236,165.72,91.64,153.79,177.93,1
good_batting_basics_00001.mp4,1237,162.01,90.79,153.47,178.99,1
good_batting_basics_00001.mp4,1238,158.56,93.98,152.92,177.75,1
good_batting_basics_00001.mp4,1239,156.75,103.16,153.56,176.59,1
good_batting_basics_00001.mp4,1240,154.92,113.69,155.01,176.2,1
good_batting_basics_00001.mp4,1241,154.44,125.67,157.54,175.29,1
good_batting_basics_00001.mp4,1242,152.55,134.8,160.41,174.09,1
good_batting_basics_00001.mp4,1243,148.96,140.91,164.67,172.54,1
good_batting_basics_00001.mp4,1244,147.21,146.1,169.06,172.09,1
good_batting_basics_00001.mp4,1245,150.06,150.65,173.04,171.23,1
good_batting_basics_00001.mp4,1246,152.94,155.05,176.35,170.63,1
good_batting_basics_00001.mp4,1247,155.82,159.49,179.59,169.82,1
good_batting_basics_00001.mp4,1248,157.91,161.84,175.57,169.35,1
good_batting_basics_00001.mp4,1249,158.09,161.63,173.69,168.25,1
good_batting_basics_00001.mp4,1250,156.84,159.94,171.52,167.61,1
good_batting_basics_00001.mp4,1251,151.26,155.33,169.95,166.95,1
good_batting_basics_00001.mp4,1252,145.79,148.81,169.03,167.13,1
good_batting_basics_00001.mp4,1253,142.02,141.62,168.03,167.01,1
good_batting_basics_00001.mp4,1254,140.87,138.94,167.04,166.35,1
good_batting_basics_00001.mp4,1255,141.12,140.38,166.77,165.06,1
good_batting_basics_00001.mp4,1256,144.25,146.98,167.07,164.22,1
good_batting_basics_00001.mp4,1257,145.74,155.94,166.98,162.87,1
good_batting_basics_00001.mp4,1258,145.4,164.46,167.15,161.47,1
good_batting_basics_00001.mp4,1259,142.86,170.84,166.91,161.04,1
good_batting_basics_00001.mp4,1260,138.86,176.59,166.17,161.23,1
good_batting_basics_00001.mp4,1261,134.81,179.33,165.3,161.55,1
good_batting_basics_00001.mp4,1262,132.46,175.29,164.81,162.63,1
good_batting_basics_00001.mp4,1263,131.27,171.47,165.17,163.9,1
good_batting_basics_00001.mp4,1264,131.73,168.07,165.82,165.21,1
good_batting_basics_00001.mp4,1265,133.94,165.83,167.15,166.69,1
good_batting_basics_00001.mp4,1266,138.76,163.7,168.39,168.16,1
good_batting_basics_00001.mp4,1267,145.27,163.41,169.63,169.25,1
good_batting_basics_00001.mp4,1268,154.5,164.28,170.85,170.4,1
good_batting_basics_00001.mp4,1269,162.86,165.99,172.39,171.2,1
good_batting_basics_00001.mp4,1270,169.64,167.78,173.12,171.5,1
good_batting_basics_00001.mp4,1271,174.37,170.45,173.97,171.61,1
good_batting_basics_00001.mp4,1278,141.08,170.59,169.55,176.43,1
good_batting_basics_00001.mp4,1279,136.5,171.91,167.8,178.89,1
good_batting_basics_00001.mp4,1280,135.56,173.73,167.08,179.31,1
